110 	8.92	 	5.43 	5.43 	2.91 	 3.91 	7.56 	 10.13
115 	4.44	 	2.94 	2.94 	1.58 	 2.12 	4.09 	 5.49
120 	3.17	 	1.79 	1.79 	0.96 	 1.29 	2.48 	 3.33
125 	1.92	 	1.17 	1.17 	0.63 	 0.84 	1.63 	 2.18
130 	1.38	 	0.83 	0.83 	0.45 	 0.60 	1.15 	 1.55
135 	0.98	 	0.64 	0.64 	0.34 	 0.46 	0.89 	 1.19
140 	0.75	 	0.50 	0.50 	0.27 	 0.36 	0.70 	 0.94
150 	0.67	 	0.35 	0.35 	0.19 	 0.25 	0.48 	 0.65
160 	0.39	 	0.21 	0.21 	0.11 	 0.15 	0.30 	 0.40
170 	0.41	 	0.22 	0.22 	0.12 	 0.16 	0.31 	 0.42
180 	0.52	 	0.30 	0.30 	0.16 	 0.21 	0.41 	 0.55
190 	0.79	 	0.42 	0.42 	0.23 	 0.30 	0.59 	 0.79
200 	1.11	 	0.54 	0.54 	0.29 	 0.39 	0.74 	 1.00
250 	2.28	 	1.05 	1.05 	0.56 	 0.76 	1.46 	 1.96
300 	1.90	 	1.19 	1.19 	0.64 	 0.86 	1.65 	 2.21
350 	1.29	 	1.08 	1.08 	0.58 	 0.78 	1.50 	 2.02
400 	1.26	 	1.25 	1.25 	0.67 	 0.90 	1.74 	 2.33
450 	1.26	 	1.54 	1.54 	0.83 	 1.11 	2.15 	 2.88
500 	1.48	 	2.10 	2.10 	1.13 	 1.51 	2.92 	 3.91
550 	1.99	 	2.73 	2.73 	1.47 	 1.97 	3.81 	 5.10
600 	2.70	 	3.78 	3.78 	2.03 	 2.73 	5.26 	 7.06
